UserName,Handle,Timestamp,Text,Label,Text_Lower,Text_Cleaning,Text_Token,Text_Token_Stop,Text_Token_Stop_Stem
Okezone,@okezonenews,23/07/2023 12:30,"Cek-Cek Harga BBM Pertamina, Shell hingga Vivo Hari Ini, Mana yang Lebih Murah?",neutral,"cek-cek harga bbm pertamina, shell hingga vivo hari ini, mana yang lebih murah?",cek cek harga bbm pertamina shell hingga vivo hari ini mana yang lebih murah,"['cek', 'cek', 'harga', 'bbm', 'pertamina', 'shell', 'hingga', 'vivo', 'hari', 'ini', 'mana', 'yang', 'lebih', 'murah']","['cek', 'cek', 'harga', 'bbm', 'pertamina', 'shell', 'vivo', 'murah']","['cek', 'cek', 'harga', 'bbm', 'pertamina', 'shell', 'vivo', 'murah']"
Muhiq,@MuhiqR,23/07/2023 11:58,"Rekam Jejak Sang Pemimpin Di Bidang Sosial
Disaat pemerintah menaikkan harga BBM di tengah kesulitan rakyatnya, Pak Anies Hadir memberikan bantuan berupa dana untuk para lansia.

Yuk sebarkan sebanyak-banyaknya
@xix0_3
 @Yurissa_Samosir
 @Hey_Maya1108
 @Okta_Roza
 @doelpaten",neutral,"rekam jejak sang pemimpin di bidang sosial
disaat pemerintah menaikkan harga bbm di tengah kesulitan rakyatnya, pak anies hadir memberikan bantuan berupa dana untuk para lansia.

yuk sebarkan sebanyak-banyaknya
@xix0_3
 @yurissa_samosir
 @hey_maya1108
 @okta_roza
 @doelpaten",rekam jejak sang pemimpin di bidang sosial disaat pemerintah menaikkan harga bbm di tengah kesulitan rakyatnya pak anies hadir memberikan bantuan berupa dana untuk para lansia yuk sebarkan sebanyak banyaknya samosir maya roza,"['rekam', 'jejak', 'sang', 'pemimpin', 'di', 'bidang', 'sosial', 'disaat', 'pemerintah', 'menaikkan', 'harga', 'bbm', 'di', 'tengah', 'kesulitan', 'rakyatnya', 'pak', 'anies', 'hadir', 'memberikan', 'bantuan', 'berupa', 'dana', 'untuk', 'para', 'lansia', 'yuk', 'sebarkan', 'sebanyak', 'banyaknya', 'samosir', 'maya', 'roza']","['rekam', 'jejak', 'pemimpin', 'bidang', 'sosial', 'disaat', 'pemerintah', 'menaikkan', 'harga', 'bbm', 'kesulitan', 'rakyatnya', 'anies', 'hadir', 'bantuan', 'dana', 'lansia', 'sebarkan', 'banyaknya', 'samosir', 'maya', 'roza']","['rekam', 'jejak', 'pimpin', 'bidang', 'sosial', 'saat', 'perintah', 'naik', 'harga', 'bbm', 'sulit', 'rakyat', 'anies', 'hadir', 'bantu', 'dana', 'lansia', 'sebar', 'banyak', 'samosir', 'maya', 'roza']"
HannySoebiarto,@HannySoebiarto,23/07/2023 11:35,Haaaalaaaah... nyinyir dan hasut doang kau...emangtidak bisa melihat apa.. bagaiaman perekonomian meningkat dan bagaimana bahagianya pengguna jalan tol dan penikmat bbm 1 harga .. eh infrastruktur mana yg mangkrak? Hoax ajah... untung saja kau tidak stroke....rakyat cinta Jokowi,negative,haaaalaaaah... nyinyir dan hasut doang kau...emangtidak bisa melihat apa.. bagaiaman perekonomian meningkat dan bagaimana bahagianya pengguna jalan tol dan penikmat bbm 1 harga .. eh infrastruktur mana yg mangkrak? hoax ajah... untung saja kau tidak stroke....rakyat cinta jokowi,haaaalaaaah nyinyir dan hasut doang kau emangtidak bisa melihat apa bagaiaman perekonomian meningkat dan bagaimana bahagianya pengguna jalan tol dan penikmat bbm harga eh infrastruktur mana yg mangkrak hoax ajah untung saja kau tidak stroke rakyat cinta jokowi,"['haaaalaaaah', 'nyinyir', 'dan', 'hasut', 'doang', 'kau', 'emangtidak', 'bisa', 'melihat', 'apa', 'bagaiaman', 'perekonomian', 'meningkat', 'dan', 'bagaimana', 'bahagianya', 'pengguna', 'jalan', 'tol', 'dan', 'penikmat', 'bbm', 'harga', 'eh', 'infrastruktur', 'mana', 'yg', 'mangkrak', 'hoax', 'ajah', 'untung', 'saja', 'kau', 'tidak', 'stroke', 'rakyat', 'cinta', 'jokowi']","['nyinyir', 'hasut', 'doang', 'kau', 'perekonomian', 'meningkat', 'bahagianya', 'pengguna', 'jalan', 'tol', 'penikmat', 'bbm', 'harga', 'infrastruktur', 'mangkrak', 'hoax', 'untung', 'kau', 'stroke', 'rakyat', 'cinta', 'jokowi']","['nyinyir', 'hasut', 'doang', 'kau', 'ekonomi', 'tingkat', 'bahagia', 'guna', 'jalan', 'tol', 'nikmat', 'bbm', 'harga', 'infrastruktur', 'mangkrak', 'hoax', 'untung', 'kau', 'stroke', 'rakyat', 'cinta', 'jokowi']"
Polsek Firdaus,@PolsekFird9585,23/07/2023 11:12,"personil Polsek Firdaus dan unit Intel Polsek Firdaus  melakukan  deteksi dan  monitor  stock BBM  pasca penyesuaian harga/kenaikan harga BBM Bersubsidi  serta kelangkaan BBM di SPBU - SPBU diwilayah hukum Polsek Firdaus 

#polressergai",neutral,"personil polsek firdaus dan unit intel polsek firdaus  melakukan  deteksi dan  monitor  stock bbm  pasca penyesuaian harga/kenaikan harga bbm bersubsidi  serta kelangkaan bbm di spbu - spbu diwilayah hukum polsek firdaus 

#polressergai",personil polsek firdaus dan unit intel polsek firdaus melakukan deteksi dan monitor stock bbm pasca penyesuaian harga kenaikan harga bbm bersubsidi serta kelangkaan bbm di spbu spbu diwilayah hukum polsek firdaus,"['personil', 'polsek', 'firdaus', 'dan', 'unit', 'intel', 'polsek', 'firdaus', 'melakukan', 'deteksi', 'dan', 'monitor', 'stock', 'bbm', 'pasca', 'penyesuaian', 'harga', 'kenaikan', 'harga', 'bbm', 'bersubsidi', 'serta', 'kelangkaan', 'bbm', 'di', 'spbu', 'spbu', 'diwilayah', 'hukum', 'polsek', 'firdaus']","['personil', 'polsek', 'firdaus', 'unit', 'intel', 'polsek', 'firdaus', 'deteksi', 'monitor', 'stock', 'bbm', 'pasca', 'penyesuaian', 'harga', 'kenaikan', 'harga', 'bbm', 'bersubsidi', 'kelangkaan', 'bbm', 'spbu', 'spbu', 'diwilayah', 'hukum', 'polsek', 'firdaus']","['personil', 'polsek', 'firdaus', 'unit', 'intel', 'polsek', 'firdaus', 'deteksi', 'monitor', 'stock', 'bbm', 'pasca', 'sesuai', 'harga', 'naik', 'harga', 'bbm', 'subsidi', 'langka', 'bbm', 'spbu', 'spbu', 'wilayah', 'hukum', 'polsek', 'firdaus']"
KatakDumdum,@intelcore1608_,23/07/2023 11:01,"Harga bbm naik? 
https://finance.detik.com/energi/d-6836742/bikin-penasaran-pertamina-siapkan-kado-misterius-buat-hari-kemerdekaan-ri…

PT Pertamina (Persero) telah menyiapkan kado untuk Indonesia jelang bulan kemerdekaan. Kado tersebut masih misteri.",neutral,"harga bbm naik? 
https://finance.detik.com/energi/d-6836742/bikin-penasaran-pertamina-siapkan-kado-misterius-buat-hari-kemerdekaan-ri…

pt pertamina (persero) telah menyiapkan kado untuk indonesia jelang bulan kemerdekaan. kado tersebut masih misteri.",harga bbm naik pt pertamina persero telah menyiapkan kado untuk indonesia jelang bulan kemerdekaan kado tersebut masih misteri,"['harga', 'bbm', 'naik', 'pt', 'pertamina', 'persero', 'telah', 'menyiapkan', 'kado', 'untuk', 'indonesia', 'jelang', 'bulan', 'kemerdekaan', 'kado', 'tersebut', 'masih', 'misteri']","['harga', 'bbm', 'pertamina', 'persero', 'kado', 'indonesia', 'jelang', 'kemerdekaan', 'kado', 'misteri']","['harga', 'bbm', 'pertamina', 'persero', 'kado', 'indonesia', 'jelang', 'merdeka', 'kado', 'misteri']"
"KIA || hiatus bentar, baliknya kapan-kapan",@onlyourkia,23/07/2023 10:37,terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya SUNGHOON ke rumah sakit untuk menghadirkan seorang SUNGHOON di bumi ini,neutral,terima kasih tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya sunghoon ke rumah sakit untuk menghadirkan seorang sunghoon di bumi ini,terima kasih tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya sunghoon ke rumah sakit untuk menghadirkan seorang sunghoon di bumi ini,"['terima', 'kasih', 'tuhan', 'telah', 'membiarkan', 'fosil', 'dinosaurs', 'terdegradasi', 'dan', 'menjadi', 'minyak', 'bumi', 'yang', 'digunakan', 'untuk', 'bahan', 'bakar', 'mobil', 'yang', 'membawa', 'mamanya', 'sunghoon', 'ke', 'rumah', 'sakit', 'untuk', 'menghadirkan', 'seorang', 'sunghoon', 'di', 'bumi', 'ini']","['terima', 'kasih', 'tuhan', 'membiarkan', 'fosil', 'dinosaurs', 'terdegradasi', 'minyak', 'bumi', 'bahan', 'bakar', 'mobil', 'membawa', 'mamanya', 'sunghoon', 'rumah', 'sakit', 'menghadirkan', 'sunghoon', 'bumi']","['terima', 'kasih', 'tuhan', 'biar', 'fosil', 'dinosaurs', 'degradasi', 'minyak', 'bumi', 'bahan', 'bakar', 'mobil', 'bawa', 'mama', 'sunghoon', 'rumah', 'sakit', 'hadir', 'sunghoon', 'bumi']"
jepα. ♡,@kiteuns,23/07/2023 10:02,terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya bina ke rumah sakit untuk menghadirkan seorang BINAAA di bumi ini ,neutral,terima kasih tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya bina ke rumah sakit untuk menghadirkan seorang binaaa di bumi ini ,terima kasih tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya bina ke rumah sakit untuk menghadirkan seorang binaaa di bumi ini,"['terima', 'kasih', 'tuhan', 'telah', 'membiarkan', 'fosil', 'dinosaurs', 'terdegradasi', 'dan', 'menjadi', 'minyak', 'bumi', 'yang', 'digunakan', 'untuk', 'bahan', 'bakar', 'mobil', 'yang', 'membawa', 'mamanya', 'bina', 'ke', 'rumah', 'sakit', 'untuk', 'menghadirkan', 'seorang', 'binaaa', 'di', 'bumi', 'ini']","['terima', 'kasih', 'tuhan', 'membiarkan', 'fosil', 'dinosaurs', 'terdegradasi', 'minyak', 'bumi', 'bahan', 'bakar', 'mobil', 'membawa', 'mamanya', 'bina', 'rumah', 'sakit', 'menghadirkan', 'binaaa', 'bumi']","['terima', 'kasih', 'tuhan', 'biar', 'fosil', 'dinosaurs', 'degradasi', 'minyak', 'bumi', 'bahan', 'bakar', 'mobil', 'bawa', 'mama', 'bina', 'rumah', 'sakit', 'hadir', 'binaaa', 'bumi']"
IDX CHANNEL,@idx_channel,23/07/2023 09:32,Pertamina melakukan penyesuaian harga bahan bakar minyak (BBM) Umum per Minggu (23/7). Cek di sini untuk selengkapnya,neutral,pertamina melakukan penyesuaian harga bahan bakar minyak (bbm) umum per minggu (23/7). cek di sini untuk selengkapnya,pertamina melakukan penyesuaian harga bahan bakar minyak bbm umum per minggu cek di sini untuk selengkapnya,"['pertamina', 'melakukan', 'penyesuaian', 'harga', 'bahan', 'bakar', 'minyak', 'bbm', 'umum', 'per', 'minggu', 'cek', 'di', 'sini', 'untuk', 'selengkapnya']","['pertamina', 'penyesuaian', 'harga', 'bahan', 'bakar', 'minyak', 'bbm', 'minggu', 'cek', 'selengkapnya']","['pertamina', 'sesuai', 'harga', 'bahan', 'bakar', 'minyak', 'bbm', 'minggu', 'cek', 'lengkap']"
Kadrun Suryoatmojo,@TovickVieira,23/07/2023 09:30,Nunggu harga BBM dan sembako turun?,neutral,nunggu harga bbm dan sembako turun?,nunggu harga bbm dan sembako turun,"['nunggu', 'harga', 'bbm', 'dan', 'sembako', 'turun']","['nunggu', 'harga', 'bbm', 'sembako', 'turun']","['nunggu', 'harga', 'bbm', 'sembako', 'turun']"
Raja,@Rajakonoha,23/07/2023 09:24,"Lah dia mah ngomong apa aja juga enak, Mao harga BBM, pangan naik juga gak ngepek, wong duite akeh",negative,"lah dia mah ngomong apa aja juga enak, mao harga bbm, pangan naik juga gak ngepek, wong duite akeh",lah dia mah ngomong apa aja juga enak mao harga bbm pangan naik juga gak ngepek wong duite akeh,"['lah', 'dia', 'mah', 'ngomong', 'apa', 'aja', 'juga', 'enak', 'mao', 'harga', 'bbm', 'pangan', 'naik', 'juga', 'gak', 'ngepek', 'wong', 'duite', 'akeh']","['ngomong', 'mao', 'harga', 'bbm', 'pangan', 'ngepek', 'duite', 'akeh']","['ngomong', 'mao', 'harga', 'bbm', 'pangan', 'ngepek', 'duite', 'akeh']"
